level,hanja,mean,pron,hms
3급,挑,,,돋울 도
준3급,沿,,,물따라갈/따를 연
준4급,起,,,일어날 기
준3급,盟,,,맹세 맹
4급,辭,,,말씀 사
준3급,克,,,이길 극
level,hanja,mean,pron,hms
준3급,械,,,기계 계
3급,郭,,,둘레/외성 곽
0급,-,,,-
준4급,博,,,넓을 박
준4급,狀,,,형상 상|문서 장
3급,隷,,,종 례
준3급,臨,,,임할 림
4급,勸,,,권할 권
5급,固,,,굳을 고
준3급,覆,,,덮을 부|다시 복
4급,迎,,,맞을 영
3급,迷,,,미혹할 미
준3급,封,,,봉할 봉
준3급,謙,,,겸손할 겸
준4급,想,,,생각 상
3급,邦,,,나라 방
6급,郡,,,고을 군
3급,泊,,,머무를/배댈 박
3급,冒,,,무릅쓸 모
4급,敢,,,감히/구태여 감
3급,豈,,,어찌 기
level,hanja,mean,pron,hms
4급,拍,,,칠 박
준3급,絡,,,이을/얽을 락
4급,據,,,근거 거
4급,糧,,,양식 량
4급,模,,,본뜰 모
준3급,幹,,,줄기 간
준3급,浪,,,물결 랑
4급,傷,,,다칠 상
3급,傍,,,곁 방
3급,肯,,,즐길 긍
준4급,督,,,감독할 독
준3급,紋,,,무늬 문
준3급,迫,,,핍박할 박
4급,盜,,,도둑 도
3급,繫,,,맬 계
준3급,恐,,,두려울 공
4급,妨,,,방해할 방
준3급,騎,,,말탈 기
준4급,寶,,,보배 보
준3급,賦,,,부세 부
3급,那,,,어찌 나
준3급,綿,,,솜 면
준3급,蒙,,,어두울 몽
4급,劇,,,심할 극
준3급,婢,,,계집종 비
4급,否,,,아닐 부
준3급,嶺,,,고개 령
4급,儒,,,선비 유
준4급,警,,,깨우칠 경
3급,竟,,,마침내 경
준3급,陶,,,질그릇 도
준3급,眠,,,잘 면
준3급,佳,,,아름다울 가
준4급,容,,,얼굴 용
준3급,染,,,물들 염
준3급,拳,,,주먹 권
4급,券,,,문서 권
준3급,吏,,,벼슬아치/관리 리
준5급,課,,,공부할/과정 과
3급,賜,,,줄 사
3급,牽,,,이끌/끌 견
3급,蜜,,,꿀 밀
준3급,妄,,,망령될 망
준5급,福,,,복 복
4급,徒,,,무리 도
준3급,琴,,,거문고 금
준3급,森,,,수풀 삼
