孰,敦
帝,宰
粧,飾
幸,辛
緊,係,繫
幣,廢
獸,獻
待,持
壤,壞
獻,獸
拾,捨,舍
輿,與
傑,俊
隨,追
隊,衆
其,斯,欺,旗
此,比,北
搜,尋
旣,慨
予,余,汝
還,環,丸
壽,尋
獸,獻
換,條
順,首,須,循
徒,隊,衆
獻,獻,獸,獄
疏,荒
租,稅,賦
何,可,阿
慣,寬
壤,壞
緊,係,繫
詞,司,辭
遂,逐,追,隨
荒,疏
庚,庚
何,阿
晝,書
粧,裝
壯,狀,粧,莊,獎
徹,哲
捨,拾
薄,博
隊,衆,徒
煙,燈,燃,爐
尋,審,搜
衰,裳
宣,宜
昇,昇
賜,揚
汝,予,余
係,繫,緊
與,輿
價,値
旣,歎,慨
域,城
遂,隨
弊,蔽,蓋
付,附
室,屋
莫,漠
卑,婢
句,包
勝,登,騰
刑,刊
遞,處
漸,暫,潛
西,酉
切,初
薄,簿,博
折,斥
淨,浮
除,徐
叛,判
公,共
妻,妾
表,素
書,晝
吏,史,便,更
戀,辯
貴,遺,遣,貫
潔,溪
系,係,繫
城,域
蹟,跡
朴,杯
壇,墻
竟,境,經
陵,隆
延,廷
映,照,影,映
付,附
逮,遞
混,濕
試,式
訟,頌
成,盛
邪,阿
囚,因
的,約
早,旱
見,現,顯
宜,宣
奪,奮
禮,農,豊
腸,賜
倍,培
勤,勸
虎,處,虛
現,顯,見,縣
邦,那,耶
混,濕
已,旣,己
討,吐
縣,懸
煙,燈
換,俊
洲,州
典,展
盟
此,批
租,賦,稅
遂,追
蔽,弊
刑,形
淚,漏
版,板
丙,再
秒,秋
丈,尤
現,顯,見
部,都
致,治
屢,累
比,此
皇,星
捨,賜,拾
斯,祈
弊,幣
順,須,循
漠,莫
罔,莫
毛,尾
追,遺,遣
薄,簿
常,尙
般,船
虎,虛,處
跡,蹟
會,曾
拾,捨,舍
豪,蒙
願,題
樓,屢
辯,辨
丙,兩,再
博,薄,簿
豊,農
影,映,照
輕,經,徑
丹,赤,朱,紅
侯,候
施,旋,宣
柱,株
竟,克
模,倣
壤,壞,塊
恭,添
族,施,旅
遞,替
遞,虎
穫,獲,護
機,械
孰,敦
第,弟
登,騰,登,騰
譯,擇
矯,稿
徐,除
吹,飮
操,條
欺,其,旗
祝,祀
株,柱
倣,傍
蒸,燕
麻,硏
例,禮
寬,慣
切,初
丹,舟
庭,廷
使,吏
視,示
擊,擧
豪,毫
快,潔,訣
底,低
標,票
勞,努
惠,慧
歷,曆
耶,那,邦
壁,堅
虎,處,虛,劇
副,幅
履,踏
曾,會
據,擔
李,梨
紅,鴻
景,庚
蒙,豪,毫
曾,層,會
煙,燈,爐,燃
宿,寂
擊,拳,擧
臺,壇,墻
麻,磨,硏
胸,肺
定,精,定,精
決,快
致,至
客,閣
哀,喪,裳,衰
投,役
或,咸
薦,遷
決,潔
復,後
漸,潛,暫
蔽,弊
完,院
執,拘
純,順
玄,玆
慘,慙,參
連,聯,蓮
毁,陷
眉,肩
貌,懇
細,略
疏,統
玄,亥,玆
池,澤
幣,弊
逐,追,遵
爭,浮
當,富
功,攻
丙,再,兩,南
途,道,途,道
帥,師
測,側,則
微,徵
慙,暫,潛
矣,兮,奈,焉,奚
俗,裕
操,條,燥
繼,連
係,繫,係,繫,系
更,硬
極,克,劇
漸,潛
弟,第
鄕,卿
賢,見
岸,岳
淨,靜,浮
返,反,叛
